Format,AIM CSV File,,,,,,,,,
Venue,Summit point,,,,,,,,,
Vehicle,RF97,,,,,,,,,
User,Jon Doe,,,,,,,,,
Data Source,AIM Data Logger,,,,,,,,,
Comment,,,,,,,,,,
Date,8/1/14,,,,,,,,,
Time,8:45:05,,,,,,,,,
Sample Rate,20,,,,,,,,,
Duration,155.73,,,,,,,,,
Segment,Session,,,,,,,,,
Beacon Markers,"77.784, 155.730",,,,,,,,,
Segment Times,01:17.8,01:17.9,,,,,,,,
,,,,,,,,,,
Time,Distance,FBP,Steering,Vertical_acc,Lateral_acc,Longitudinal_a,Calculated_Gea,FF_RPM,FF_THROTTLE,GPS_Speed
Time,Distance,FBP,Steering,Vertical_acc,Lateral_acc,Longitudinal_a,Calculated_Gea,FF_RPM,FF_THROTTLE,GPS_Speed
sec,km,psi,deg,g,g,g,#,rpm,%,mph
,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,
0,0,-3.540039,1.774648,1.160801,0.027835,-0.039949,4,5947.399902,98.823517,119.415115
0.05,0.009,-3.173828,1.808451,1.091218,0.027803,-0.057903,4,5993.600098,98.823517,119.4524
0.1,0.017,-4.150391,1.850704,0.972661,0.0514,-0.04996,4,5947.399902,98.509789,119.483475
0.15,0.026,-5.859375,1.825352,0.881253,0.053135,-0.037839,4,5993.600098,98.431358,119.539398
0.2,0.035,-6.225586,1.783099,0.817016,0.041487,-0.017842,4,5947.399902,98.431358,119.601532
0.25,0.044,-6.225586,1.808451,0.741874,0.047615,0.003612,4,5932,98.431358,119.663666
0.3,0.052,-5.737305,1.850704,0.667246,0.08401,0.00223,4,5993.600098,98.431358,119.7258
0.35,0.061,-5.615234,1.892958,0.671856,0.140616,-0.012965,4,6009,98.431358,119.812798
0.4,0.07,-6.103516,1.935211,0.815254,0.201071,0.003131,4,6009,98.431358,119.906006
0.45,0.079,-6.225586,1.909859,1.030804,0.251918,0.061926,4,6072.200195,98.431358,119.999207
0.5,0.087,-6.713867,1.867606,1.184298,0.273249,0.119872,4,6024.799805,98.431358,120.092415
0.55,0.096,-7.324219,1.825352,1.232838,0.246676,0.144414,4,6009,98.431358,120.160767
0.6,0.105,-7.93457,1.783099,1.222767,0.191834,0.151424,4,6009,98.431358,120.2229
0.65,0.114,-7.080078,1.740845,1.19623,0.161916,0.161813,4,6009,98.431358,120.334755
0.7,0.123,-6.347656,1.698592,1.196543,0.172147,0.161553,4,6072.200195,98.431358,120.45903
0.75,0.131,-6.225586,1.690141,1.235874,0.164608,0.133686,4,6088,98.431358,120.583305
0.8,0.14,-6.713867,1.690141,1.224202,0.092957,0.10512,4,6024.799805,97.490181,120.707573
0.85,0.149,-7.324219,1.656338,1.096303,0.016505,0.107449,4,6009,98.196068,120.831848
0.9,0.158,-6.469727,1.614085,0.930012,0.029313,0.113463,4,6009,98.431358,120.956116
0.95,0.167,-5.737305,1.639437,0.810612,0.104814,0.091381,4,6072.200195,98.745087,121.080399
1,0.176,-6.591797,1.68169,0.752215,0.127349,0.076663,4,6086.399902,98.823517,121.204674
1.05,0.185,-5.859375,1.690141,0.77888,0.074448,0.092055,4,6024.399902,98.823517,121.304092
1.1,0.194,-4.150391,1.690141,0.894923,0.026387,0.081153,4,6072.200195,98.823517,121.397301
1.15,0.202,-4.760742,1.656338,1.025791,0.020744,0.026456,4,6086.399902,98.823517,121.515358
1.2,0.211,-5.981445,1.614085,1.09283,0.039139,0.012134,4,6087.600098,98.509789,121.639626
1.25,0.22,-7.69043,1.605634,1.088331,0.075972,0.073732,4,6088,98.431358,121.788757
1.3,0.229,-8.056641,1.605634,1.063353,0.120102,0.126975,4,6086.399902,98.431358,121.944107
1.35,0.238,-7.568359,1.605634,1.052066,0.145531,0.110641,4,6087.600098,98.431358,122.074593
1.4,0.247,-6.958008,1.605634,1.010572,0.144158,0.054045,4,6151.200195,98.431358,122.19886
1.45,0.256,-5.859375,1.605634,0.888486,0.109502,-0.017984,4,6103.799805,98.745087,122.323135
1.5,0.265,-5.615234,1.605634,0.744329,0.033162,-0.103492,4,6088,98.823517,122.447411
1.55,0.274,-5.126953,1.639437,0.714119,-0.052647,-0.153381,4,6088,98.823517,122.571686
1.6,0.283,-5.004883,1.68169,0.859635,-0.09289,-0.113602,4,6086.399902,98.509789,122.695961
1.65,0.292,-5.004883,1.690141,1.060679,-0.067237,-0.031478,4,6087.600098,98.431358,122.820236
1.7,0.3,-5.004883,1.690141,1.104684,0.006003,-0.015235,4,6088,98.431358,122.942024
1.75,0.309,-5.957031,1.723099,0.951857,0.087764,-0.086838,4,6149.620117,98.737244,123.042061
1.8,0.318,-6.70166,1.765352,0.806004,0.120156,-0.158459,4,6167,98.517632,123.135262
1.85,0.327,-7.312012,1.774648,0.861959,0.101889,-0.13076,4,6167,98.431358,123.204239
1.9,0.336,-7.446289,1.774648,1.03573,0.112668,0.004812,4,6168.560059,98.431358,123.26638
1.95,0.345,-7.446289,1.774648,1.108027,0.183569,0.14838,4,6105.819824,98.431358,123.352753
2,0.354,-6.018066,1.774648,1.047379,0.220994,0.173573,4,6086.439941,98.737244,123.445953
2.05,0.363,-5.615234,1.774648,1.000598,0.152289,0.072594,4,6150.740234,98.823517,123.539162
2.1,0.372,-6.567383,1.774648,1.008838,0.050028,-0.018785,4,6167.439941,97.905869,123.632362
2.15,0.381,-6.835938,1.774648,0.970093,0.016101,-0.000354,4,6167,98.258812,123.70134
2.2,0.39,-6.359863,1.774648,0.878205,0.039745,0.068035,4,6231.740234,98.737244,123.763474
2.25,0.399,-6.225586,1.74169,0.859492,0.059738,0.082838,4,6186.819824,98.823517,123.849846
2.3,0.409,-6.225586,1.699437,0.946476,0.068629,0.036414,4,6167.439941,98.517632,123.943047
2.35,0.418,-6.70166,1.690141,1.013531,0.077973,-0.008599,4,6167,98.431358,124.036255
2.4,0.427,-6.359863,1.690141,0.990139,0.075448,-0.00691,4,6168.560059,98.737244,124.129463
2.45,0.436,-5.749512,1.690141,0.969841,0.066127,0.024066,4,6167.439941,98.517632,124.222672
2.5,0.445,-5.13916,1.690141,1.024888,0.072347,0.028327,4,6231.740234,98.125473,124.315872
2.55,0.454,-5.004883,1.690141,1.079361,0.083663,-0.00689,4,6186.819824,98.345085,124.409081
2.6,0.463,-5.004883,1.690141,1.059414,0.075322,-0.043535,4,6169,98.431358,124.502289
2.65,0.472,-5.480957,1.723099,0.997944,0.055316,-0.071116,4,6232.180176,98.431358,124.571266
2.7,0.481,-5.615234,1.765352,0.934474,0.048073,-0.098281,4,6185.259766,98.737244,124.6334
2.75,0.49,-5.615234,1.774648,0.883082,0.060211,-0.097328,4,6168.560059,98.823517,124.695534
2.8,0.499,-5.615234,1.774648,0.883131,0.074832,-0.050665,4,6167.439941,98.517632,124.757668
2.85,0.508,-6.091309,1.774648,0.92829,0.064812,0.000203,4,6167,98.431358,124.795578
2.9,0.518,-6.225586,1.774648,0.942663,0.030594,0.00767,4,6231.740234,98.737244,124.826645
2.95,0.527,-7.177734,1.774648,0.921653,0.007781,-0.021866,4,6250,98.517632,124.857712
3,0.536,-8.874512,1.774648,0.9255,0.004543,-0.039588,4,6250,98.737244,124.888779
3.05,0.545,-8.80127,1.774648,0.942586,-0.009789,-0.017384,4,6250,98.517632,124.919853
3.1,0.554,-7.23877,1.774648,0.952022,-0.034086,0.019405,4,6250,98.431358,124.95092
3.15,0.563,-5.407715,1.774648,0.995408,-0.045192,0.04588,4,6250,98.737244,124.981987
3.2,0.572,-5.957031,1.774648,1.049838,-0.055586,0.075273,4,6250,98.517632,125.013046
3.25,0.581,-6.225586,1.74169,1.034392,-0.066841,0.096562,4,6316.299805,98.431358,125.044121
3.3,0.591,-6.225586,1.699437,0.973311,-0.04308,0.064764,4,6268.700195,98.431358,125.075188
3.35,0.6,-6.225586,1.690141,0.945369,0.007529,0.007698,4,6250,98.431358,125.130493
3.4,0.609,-6.70166,1.690141,0.933883,0.034232,0.016608,4,6316.299805,98.737244,125.192627
3.45,0.618,-5.883789,1.690141,0.88712,0.034784,0.084445,4,6268.700195,98.517632,125.230537
3.5,0.627,-5.615234,1.690141,0.838406,0.042599,0.104362,4,6250,98.737244,125.261604
3.55,0.637,-5.615234,1.690141,0.860182,0.059805,0.056785,4,6314.740234,98.517632,125.31691
3.6,0.646,-6.091309,1.690141,0.957152,0.074184,0.027599,4,6268.259766,98.431358,125.379044
3.65,0.655,-6.225586,1.723099,1.064172,0.093146,0.028802,4,6316.299805,97.51371,125.441177
3.7,0.664,-5.749512,1.765352,1.105784,0.117892,-0.015077,4,6268.700195,97.866653,125.503311
3.75,0.673,-5.13916,1.774648,1.034822,0.121698,-0.095388,4,6250,98.65097,125.565453
3.8,0.683,-5.004883,1.774648,0.881726,0.087056,-0.121952,4,6316.299805,98.517632,125.627586
